260	137.75	137.66	137.57	137.48	137.38	137.29	137.2	137.11	137.01	135.1	135.39	135.75	141.39	146.17	152.0	154.9	156.17	151.82	145.92	140.8	134.46	129.36	126.15	124.23	
280	138.0	137.91	137.82	137.73	137.63	137.54	137.45	137.35	137.26	136.12	137.08	136.45	141.9	148.41	152.41	153.63	154.8	154.24	148.58	143.01	136.6	130.84	126.8	125.11	
300	138.25	138.16	138.07	137.98	137.88	137.79	137.7	137.6	137.51	137.42	130.39	135.26	140.92	146.47	149.36	151.48	152.88	151.84	148.93	142.53	137.07	132.12	126.76	124.58	
320	138.5	138.41	138.32	138.23	138.13	138.04	137.95	137.85	124.76	137.67	137.32	133.75	138.2	142.18	145.3	145.26	147.72	146.39	144.45	140.56	135.43	129.42	124.71	122.59	
340	137.77	138.66	138.57	138.48	138.38	138.29	138.2	138.1	138.01	137.92	135.22	133.32	135.12	139.35	140.03	140.46	142.34	141.07	139.46	136.14	132.3	127.46	123.2	121.17	
360	139.0	138.91	138.82	138.73	138.63	138.54	138.45	138.35	138.26	137.94	131.6	129.84	132.17	134.45	134.17	135.96	136.83	136.46	134.94	132.35	128.63	124.75	122.56	121.63	
380	139.25	139.16	139.07	138.98	138.88	138.79	138.7	138.6	138.51	137.43	124.98	125.65	127.6	129.63	132.45	131.27	133.42	131.5	129.79	128.76	125.3	122.85	120.91	121.43	
400	139.5	139.41	139.32	139.23	139.13	139.04	138.95	138.85	138.76	138.66	130.14	122.46	122.74	125.47	128.52	128.99	128.25	126.49	125.12	123.55	121.48	120.37	120.32	120.08	
420	139.75	139.66	139.57	139.47	139.38	139.29	139.19	139.1	139.01	134.51	126.24	121.14	120.18	122.7	126.28	125.71	123.59	121.81	121.08	120.56	119.87	120.33	119.44	120.1	
440	140.0	139.91	139.82	139.72	139.63	139.54	139.44	139.35	139.26	131.79	133.74	126.87	118.33	119.42	121.53	122.12	122.68	121.5	119.56	118.16	118.66	119.75	119.69	119.59	
460	140.25	140.16	140.07	139.97	139.88	139.79	139.69	139.6	139.51	135.86	132.02	135.87	119.29	118.81	119.74	120.34	120.21	117.95	117.15	117.07	118.89	120.07	118.87	120.95	
480	140.5	140.41	140.32	140.22	140.13	140.04	139.94	139.85	139.76	126.22	127.45	123.23	121.97	121.35	120.5	120.05	119.0	118.68	117.6	117.12	117.84	119.04	119.78	121.11	
500	140.75	140.66	140.57	140.47	140.38	140.29	140.19	140.1	140.01	139.86	139.82	123.93	122.24	121.75	120.91	120.72	120.0	116.56	116.03	116.18	117.24	117.77	118.61	120.59	
520	141.0	140.91	140.82	140.72	140.63	140.53	140.44	140.35	135.01	140.16	134.03	123.54	123.1	121.05	120.04	119.77	119.26	114.62	115.29	115.91	115.3	116.37	117.06	119.43	
540	141.25	141.16	141.07	140.97	140.88	140.78	140.69	140.6	129.59	140.41	138.29	136.64	120.56	120.07	119.3	118.34	118.67	116.02	115.58	115.83	116.07	116.9	116.96	118.49	
560	141.5	141.41	141.31	141.22	141.13	141.03	140.94	139.73	140.75	128.93	126.01	126.38	118.96	119.41	118.01	117.66	118.65	116.71	116.69	116.37	117.82	119.12	119.28	120.41	
580	141.75	141.66	141.56	141.47	141.38	141.28	141.19	141.1	141.0	136.74	122.41	134.2	124.69	114.39	115.03	116.74	115.44	114.24	114.02	115.33	116.01	117.78	119.59	120.79	
600	142.0	141.91	141.81	141.72	141.63	141.53	141.44	141.16	131.31	95.12	95.61	94.73	102.34	95.92	96.33	104.23	101.3	102.67	107.46	110.75	113.09	116.6	117.57	118.37	
620	142.25	142.16	142.06	141.97	141.88	141.78	141.69	141.6	141.5	141.41	141.32	141.22	138.1	96.68	93.64	93.15	92.65	91.63	91.97	91.58	92.42	93.69	104.16	110.25	
